"YEAR","Total.AF","NM_Export_outsidesystem_AF","MONTH","Total.AF.monthly","NM_Export_outsidesystem_AF.monthly","Total.km3.monthly","NM_Export_outsidesystem_km3_monthly","Total.km3.monthly.excluding.NM.Export","DATE"
2016,4305350.903,88028,5,433395.961532236,8861.293901776,0.534585250630783,0.0109302288019627,0.52365502182882,2016-05-01
2016,4305350.903,88028,6,477370.53580767,9760.406171956,0.588827008508044,0.0120392658049843,0.57678774270306,2016-06-01
2016,4305350.903,88028,7,517257.050240177,10575.933215296,0.638026226330254,0.0130452021024033,0.624981024227851,2016-07-01
2016,4305350.903,88028,8,500638.955450215,10236.156578936,0.617528138768731,0.012626094416986,0.604902044351745,2016-08-01
2016,4305350.903,88028,9,419964.317220497,8586.668020608,0.518017586005138,0.0105914832700596,0.507426102735079,2016-09-01
2016,4305350.903,88028,10,359899.510007914,7358.571875036,0.443928847604562,0.0090766512364194,0.434852196368142,2016-10-01
2016,4305350.903,88028,11,273915.401105493,5600.52489838,0.337869168955603,0.00690813545165376,0.330961033503949,2016-11-01
2016,4305350.903,88028,12,241642.464904499,4940.666482212,0.298061147610402,0.00609421329247886,0.291966934317923,2016-12-01
2017,4706162.455,153580,1,258023.018227852,8420.27352824,0.318266232523691,0.0103862389916135,0.307879993532077,2017-01-01
2017,4706162.455,153580,2,238307.924822066,7776.8949636,0.293948059109522,0.00959264439970133,0.284355414709821,2017-02-01
2017,4706162.455,153580,3,319295.220329771,10419.81878168,0.393844268372366,0.0128526380708266,0.380991630301539,2017-03-01
2017,4706162.455,153580,4,366302.300456918,11953.83878948,0.451826561567599,0.0147448210700478,0.437081740497551,2017-04-01
2017,4706162.455,153580,5,473743.452802048,15460.05268136,0.58435307416227,0.0190696657814039,0.565283408380866,2017-05-01
2017,4706162.455,153580,6,521811.890216858,17028.70881866,0.64364453034469,0.0210045717536407,0.62263995859105,2017-06-01
2017,4706162.455,153580,7,565411.685195773,18451.53613856,0.697424005455281,0.022759600796191,0.67466440465909,2017-07-01
2017,4706162.455,153580,8,547246.509920592,17858.73730396,0.675017625056851,0.0220283952896886,0.652989229767163,2017-08-01
2017,4706162.455,153580,9,459061.374246087,14980.92055488,0.566243023905063,0.0184786658860334,0.54776435801903,2017-09-01
2017,4706162.455,153580,10,393404.765310053,12838.29541246,0.485256909914645,0.0158357806253612,0.469421129289283,2017-10-01
2017,4706162.455,153580,11,299415.867735819,9771.0798143,0.369323484534778,0.0120524315293428,0.357271053005435,2017-11-01
2017,4706162.455,153580,12,264138.445736164,8619.84321282,0.325809490046644,0.0106324042061492,0.315177085840494,2017-12-01
2018,4537676.624,33896.2,1,248785.508248344,1858.4143480136,0.306871948714167,0.00229231692998782,0.304579631784179,2018-01-01
2018,4537676.624,33896.2,2,229776.23703367,1716.416115804,0.283424392856291,0.00211716495052192,0.281307227905769,2018-02-01
2018,4537676.624,33896.2,3,307864.097616522,2299.7282288552,0.379744207128028,0.00283666877572831,0.3769075383523,2018-03-01
2018,4537676.624,33896.2,4,353188.27218445,2638.2973718972,0.435650669974076,0.00325428704228776,0.432396382931788,2018-04-01
2018,4537676.624,33896.2,5,456782.912215235,3412.1437537304,0.563432586559248,0.00420881107735137,0.559223775481897,2018-05-01
2018,4537676.624,33896.2,6,503130.44630379,3758.3573372774,0.620601342906799,0.00463585860838493,0.615965484298415,2018-06-01
2018,4537676.624,33896.2,7,545169.320307559,4072.3854620384,0.672455453212968,0.00502320601971513,0.667432247193253,2018-07-01
2018,4537676.624,33896.2,8,527654.47843688,3941.5505365444,0.650851246062323,0.00486182375581679,0.645989422306506,2018-08-01
2018,4537676.624,33896.2,9,442626.468341451,3306.3958804032,0.545970896169813,0.00407837319055974,0.541892522979254,2018-09-01
